Date,Holiday
1/1/2013,Neujahr
29/03/2013,Karfreitag
1/1/2013,Ostermontag
1/5/2013,Mai
9/5/2013,Himmelfahrt
10/5/2013,bridge
20/05/2013,Pfingsten
3/10/2013,Einheit
25/12/2013,Weihnachten_one
26/12/2013,Weihnachten_two
1/1/2014,Neujahr
18/04/2014,Karfreitag
21/04/2014,Ostermontag
1/5/2014,Mai
29/5/2014,Himmelfahrt
30/05/2014,bridge
9/6/2014,Pfingsten
3/10/2014,Einheit
25/12/2014,Weihnachten_one
26/12/2014,Weihnachten_two
1/1/2015,Neujahr
3/4/2015,Karfreitag
6/4/2015,Ostermontag
1/5/2015,Mai
14/5/2015,Himmelfahrt
16/5/2015,bridge
25/5/2015,Pfingsten
3/10/2015,Einheit
25/12/2015,Weihnachten_one
26/12/2015,Weihnachten_two
1/1/2016,Neujahr
25/3/2016,Karfreitag
28/3/2016,Ostermontag
1/5/2016,Mai
5/5/2016,Himmelfahrt
6/5/2016,bridge
16/5/2016,Pfingsten
3/10/2016,Einheit
25/12/2016,Weihnachten_one
26/12/2016,Weihnachten_two
1/1/2017,Neujahr
14/4/2017,Karfreitag
17/4/2017,Ostermontag
1/5/2017,Mai
25/5/2017,Himmelfahrt
26/5/2017,bridge
5/6/2017,Pfingsten
3/10/2017,Einheit
25/12/2017,Weihnachten_one
26/12/2017,Weihnachten_two
